,AMH,CBX2,CTNNB1,DHH,DKK1,DMRT1,FGF9,FOXL2,GATA4,NR0B1,NR5A1,PGD2,RSPO1,SOX9,SRY,UGR,WNT4,WT1mKTS,WT1pKTS
E801_438,0.3387893633134917,0.0027170254487352,0.0114624825359585,0.3534901325770764,1.8477889816352564,1.5704761676645285,0.5524962659937823,0.0105419482489502,2.1073671298341763,1.8593895239834048,2.479147273640032,0.4977649501681421,0.0628909035829572,1.496546114662198,2.173483305942636,0.0028417879510512,0.0156865590361149,1.876589299005436,1.7424271912683298
E1_769,1.8416587471771584,0.0021909020386523,0.0051184927007649,2.5544670536564045,2.208555223771228,2.207165117624136,1.708262626628272,0.0353647601721941,2.2574574397840785,0.07109829540856,2.17534910134834,2.1874901144326646,0.0205998962747431,2.053793960170601,2.022430187743677,0.0429652877217734,0.0101801646274913,1.5355458797019768,2.6944805903455715
E1795_733,0.0170361474609521,0.0083467570738407,1.845363781106592,0.0094831455913607,0.0146488297556563,0.0018936323770273,0.0011592226083937,2.3291271692072155,1.7779639048870617,1.9920850547056208,0.0027852426561154,0.0403210481700374,2.0117886364810302,0.0004226704158337,0.1336926206757522,0.0008798053160319,1.868028811331904,1.7014865424193446,0.0038954673376704
E645_767,1.7045647002733646,8.151551909991095e-05,0.0114177062726703,2.2528989855432786,1.7138815185802558,1.6836369583672806,1.7534600680386967,0.0081394125910598,1.7254295864197091,0.0137295254107596,1.4605286455100848,1.9271443681130045,0.0933495304946235,1.5373871436638615,2.3895131156975147,0.0076138112131054,0.008642902853111,2.2390902555893586,1.7235863652703076
E487_58,0.0382384378309304,2.6532965570269083,0.0005668074217113,0.006457704857998,0.0129111852185311,0.0258922505685969,0.0028616626744951,0.0528819123873832,2.317659863253757,0.0454459135958418,2.017027977513345,0.0032152565885161,0.0275893484947021,0.0032133458404439,0.0012015698895402,1.4666320680466236,0.6444070551120142,2.220691244797557,2.2116173684826754
E284_5,0.0111459868122723,1.2204325414582065,0.0089313622094235,0.0055071277816624,0.0302315204852804,0.0154650374786565,0.0213870626207029,0.0076031936529152,0.7976509395563076,0.0011649306955143,1.0321585981496526,0.007144613073667,0.0048071770356474,0.0339282735117036,0.0302836360875799,1.767823811920035,0.0001738137556543,0.7798916284579267,0.8170965344811677
E1797_596,0.0006064029795292,0.0139791738532396,2.7098899472836657,0.0040859760135769,0.0117372902459446,0.0123072605852728,0.0548235544438103,1.9789541858103747,1.4870720361414098,2.1142964997761946,0.0082201342463499,0.0017388434177801,1.9980251489070908,0.0138937095290976,0.0045450934421778,0.0083172073124179,1.814467635179834,2.4653496152591194,0.0053550130320578
E1058_571,2.09615753150348,0.0206152413759288,0.0111861638681019,2.8432551999225497,1.6912356968531783,2.01236450438304,1.495256105936068,0.009379413688246,1.9736817329806384,0.1010405014690566,1.933475489027472,1.9605670107179471,0.0076845623242738,2.2377701131409307,2.040607927065663,0.0089323040956037,0.009428586904233,1.9207433657638069,2.4867051558226025
E426_671,0.0007081092868908,0.0217145931291615,2.3092219072604583,0.0008576446050408,0.0137282081641141,0.0088681420184074,0.0208781770341633,1.71083939464654,2.10574332342448,2.2025635738894334,0.0503063884031019,0.0793774386601858,2.2616020976740647,0.0377270094627571,0.0266320648687415,0.0281547717522844,2.0140723632020903,2.3526247136695746,0.0450051529463434
E1421_298,0.0010185746287116,0.0435442599688295,0.0377673601547883,0.0062253747079582,2.2779713331111364,2.530044999885714,0.000992744892316,0.0481871428616814,1.7096928604967778,1.7879362051334935,1.0471508959616151,0.0113400420998747,0.0074296770308899,0.5773199283588297,2.0172527379053125,0.048538294368864,0.0040781228807174,1.5934080047987649,2.1568490046967166
E1342_303,0.0354721206938676,0.0002650292374372,0.0064361162704163,0.0091863433330713,2.3978646124427745,2.3340861872985443,0.0363795383662821,0.0096168981230605,1.7818832336376542,1.7692228502333034,0.0193188687323582,0.0153755614968836,0.3636753901962701,0.0192441705037496,2.247954137074061,0.0273227263159616,0.15440273897724,2.344073480254433,1.8973856340826625
E1838_217,0.0459130286715056,0.0554780155000709,0.0933989639658777,0.011413629661598,2.1127189074098256,2.1864637303603103,0.0011428174383816,0.0066240314419259,2.1049077774714755,2.013481351337364,0.7459209293181264,0.0250621354346477,1.0362413299884723,0.9977066137684264,2.0804511602016937,0.0133653619706516,1.5813534520987975,2.4452799073460723,2.397043700498941
E1205_441,0.0105533753302162,0.1097517734206498,0.0046976265229098,0.0046774457139374,1.861688294073346,1.768410161062114,0.0092596109721362,0.0226716725172891,1.9257511614002405,1.920774974533804,1.4033120323815922,0.0070457899497618,0.0203454280252166,1.8407207460090311,1.5709721326617458,0.0144590455963737,0.0110065137966554,2.5661566130373843,2.311227220795161
E243_17,0.0025259863003983,1.6907196497365484,0.0018269892673294,0.0497133522941858,0.010918536994913,0.0235705016864359,0.0044855015346896,0.0321668346687706,1.4089125009726982,0.0294094034482992,1.754137574333708,0.0045509130286903,0.0108042515766471,0.0002042348538186,0.0016558002067561,1.515677457445692,0.0224828569925439,1.904940131189716,1.2687456447273089
